lat,lon
-23.5249495,-46.695613
-23.524743125,-46.7034568125
-23.48595075,-46.74649025
-23.54165225,-46.64193375
-23.524986125,-46.6878185
-23.508764125,-46.7362475
-23.485936,-46.763104
-23.4808285,-46.7630265
-23.48152975,-46.765823
-23.525382,-46.681816
-23.487277,-46.732417
-23.520150375,-46.709986625
-23.5318675,-46.6610475
-23.487427,-46.7328645
-23.524967125,-46.690655375
-23.5249495,-46.695613
-23.486151,-46.750487
-23.52577875,-46.679857125
-23.514692375,-46.726534875
-23.487581875,-46.758763375
-23.48297525,-46.76102275
-23.48297525,-46.76102275
-23.52466625,-46.6830755
-23.487277,-46.732417
-23.5204185,-46.7116155
-23.542105,-46.6413685
-23.5303271875,-46.666457625
-23.542105,-46.6413685
-23.48646,-46.734746
-23.5038235,-46.7481765
-23.524743125,-46.7034568125
-23.538761375,-46.646974375
-23.4831565,-46.7544375
-23.538761375,-46.646974375
-23.538761375,-46.646974375
-23.515863,-46.72616525
-23.526297,-46.67417275
-23.484722125,-46.764484875
-23.5298423125,-46.667331375
-23.487581875,-46.758763375
-23.487482625,-46.759055125
-23.5191,-46.70945
-23.49355,-46.750201
-23.4867755,-46.735383
-23.5038235,-46.7481765
-23.524901375,-46.699352625
-23.539001125,-46.646572125
-23.4831565,-46.7544375
-23.538761375,-46.646974375
-23.538761375,-46.646974375
-23.515863,-46.72616525
-23.52781775,-46.67123025
-23.484722125,-46.764484875
-23.5298423125,-46.667331375
-23.48738925,-46.759333
-23.48730175,-46.759597
-23.520150375,-46.709986625
-23.49355,-46.750201
-23.4867755,-46.735383
-23.5038235,-46.7481765
-23.524901375,-46.699352625
-23.539001125,-46.646572125
-23.4831565,-46.7544375
-23.538761375,-46.646974375
-23.538761375,-46.646974375
-23.515863,-46.72616525
-23.52781775,-46.67123025
-23.484722125,-46.764484875
-23.5298423125,-46.667331375
-23.48738925,-46.759333
-23.48730175,-46.759597
-23.520150375,-46.709986625
-23.49355,-46.750201
-23.4867755,-46.735383
-23.5038235,-46.7481765
-23.524901375,-46.699352625
-23.539001125,-46.646572125
-23.4831565,-46.7544375
-23.539001125,-46.646572125
-23.538761375,-46.646974375
-23.515863,-46.72616525
-23.52781775,-46.67123025
-23.484722125,-46.764484875
-23.5298423125,-46.667331375
-23.48738925,-46.759333
-23.48730175,-46.759597
-23.520150375,-46.709986625
-23.4916315,-46.750813
-23.4867755,-46.735383
-23.5038235,-46.7481765
-23.524901375,-46.699352625
-23.539001125,-46.646572125
-23.4831565,-46.7544375
-23.539001125,-46.646572125
-23.538761375,-46.646974375
-23.515863,-46.72616525
-23.52781775,-46.67123025
-23.484722125,-46.764484875
-23.5298423125,-46.667331375
-23.48738925,-46.759333
-23.48730175,-46.759597
-23.520150375,-46.709986625
-23.4916315,-46.750813
-23.4867755,-46.735383
-23.5055395,-46.7478355
-23.524901375,-46.699352625
-23.539001125,-46.646572125
-23.4831565,-46.7544375
-23.539001125,-46.646572125
-23.538761375,-46.646974375
-23.515863,-46.72616525
-23.52781775,-46.67123025
-23.484722125,-46.764484875
-23.5290341875,-46.668787625
-23.48738925,-46.759333
-23.48730175,-46.759597
-23.520150375,-46.709986625
-23.4916315,-46.750813
-23.4867755,-46.735383
-23.5055395,-46.7478355
-23.524901375,-46.699352625
-23.539001125,-46.646572125
-23.4831565,-46.7544375
-23.539001125,-46.646572125
-23.538761375,-46.646974375
-23.517873,-46.725547
-23.52781775,-46.67123025
-23.484722125,-46.764484875
-23.5283876875,-46.669952625
-23.48738925,-46.759333
-23.48730175,-46.759597
-23.520150375,-46.709986625
-23.4916315,-46.750813
-23.4867755,-46.735383
-23.5055395,-46.7478355
-23.524901375,-46.699352625
-23.539001125,-46.646572125
-23.4831565,-46.7544375
-23.539001125,-46.646572125
-23.538761375,-46.646974375
-23.517873,-46.725547
-23.52781775,-46.67123025
-23.484722125,-46.764484875
-23.5283876875,-46.669952625
-23.48738925,-46.759333
-23.4867835,-46.760973
-23.520150375,-46.709986625
-23.4916315,-46.750813
-23.4867755,-46.735383
-23.5055395,-46.7478355
-23.524901375,-46.699352625
-23.539001125,-46.646572125
-23.4831565,-46.7544375
-23.539001125,-46.646572125
-23.538761375,-46.646974375
-23.517873,-46.725547
-23.52781775,-46.67123025
-23.484722125,-46.764484875
-23.5283876875,-46.669952625
-23.48738925,-46.759333
-23.4867835,-46.760973
-23.520150375,-46.709986625
-23.4916315,-46.750813
-23.48693325,-46.736953
-23.5059855,-46.7477065
-23.524916625,-46.698288
-23.539001125,-46.646572125
-23.4832765,-46.7546945
-23.540670375,-46.64326375
-23.540150375,-46.64414075
-23.517873,-46.725547
-23.5294129375,-46.6683270313
-23.4867835,-46.760973
-23.5283876875,-46.669952625
-23.4867835,-46.760973
-23.4867835,-46.760973
-23.520150375,-46.709986625
-23.490589,-46.753143375
-23.554840625,-46.661980625
-23.568235625,-46.64830775
-23.535116,-46.653728
-23.5564195,-46.664705
-23.534772,-46.644349
-23.5754025,-46.634411
-23.5395685,-46.6434895
-23.534128875,-46.64412925
-23.54501275,-46.633759
-23.534352125,-46.64396675
-23.54944075,-46.63258175
-23.515270375,-46.3814015
-23.518435,-46.3869795
-23.5167845,-46.3843835
-23.515824875,-46.47656275
-23.5058385,-46.376827
-23.532973875,-46.473513375
-23.503804,-46.37982
-23.5398895,-46.483771
-23.49210425,-46.44486225
-23.5039665,-46.37959
-23.4948563125,-46.407510875
-23.4084755,-46.74088
-23.452341,-46.735471
-23.443589375,-46.735395625
-23.4509865,-46.735199
-23.449986,-46.735319
-23.4419385,-46.7084165
-23.4066475,-46.75576375
-23.44154,-46.7078315
-23.4083275,-46.741578
-23.411384,-46.7573155
-23.440429,-46.71157
-23.48693325,-46.736953
-23.5059855,-46.7477065
-23.524916625,-46.698288
-23.539001125,-46.646572125
-23.4832765,-46.7546945
-23.540670375,-46.64326375
-23.540150375,-46.64414075
-23.520022,-46.72231425
-23.5294129375,-46.6683270313
-23.4867835,-46.760973
-23.5280644375,-46.670535125
-23.4867835,-46.760973
-23.4867835,-46.760973
-23.52026025,-46.7108415
-23.490589,-46.753143375
-23.554840625,-46.661980625
-23.568235625,-46.64830775
-23.535116,-46.653728
-23.5564195,-46.664705
-23.534772,-46.644349
-23.5754025,-46.634411
-23.5395685,-46.6434895
-23.534128875,-46.64412925
-23.54501275,-46.633759
-23.534352125,-46.64396675
-23.54944075,-46.63258175
-23.515270375,-46.3814015
-23.518435,-46.3869795
-23.5167845,-46.3843835
-23.515824875,-46.47656275
-23.5058385,-46.376827
-23.532973875,-46.473513375
-23.503804,-46.37982
-23.5398895,-46.483771
-23.49210425,-46.44486225
-23.5039665,-46.37959
-23.4948563125,-46.407510875
-23.4084755,-46.74088
-23.452341,-46.735471
-23.443589375,-46.735395625
-23.4509865,-46.735199
-23.449986,-46.735319
-23.4419385,-46.7084165
-23.4066475,-46.75576375
-23.44154,-46.7078315
-23.4083275,-46.741578
-23.411384,-46.7573155
-23.440429,-46.71157
-23.48693325,-46.736953
-23.5059855,-46.7477065
-23.524916625,-46.698288
-23.539001125,-46.646572125
-23.4832765,-46.7546945
-23.540670375,-46.64326375
-23.540150375,-46.64414075
-23.520022,-46.72231425
-23.5294129375,-46.6683270313
-23.4867835,-46.760973
-23.5280644375,-46.670535125
-23.4867835,-46.760973
-23.4867835,-46.760973
-23.52026025,-46.7108415
-23.490589,-46.753143375
-23.554840625,-46.661980625
-23.568523375,-46.64792825
-23.535116,-46.653728
-23.5564195,-46.664705
-23.534772,-46.644349
-23.5754025,-46.634411
-23.5395685,-46.6434895
-23.534128875,-46.64412925
-23.54501275,-46.633759
-23.534352125,-46.64396675
-23.54944075,-46.63258175
-23.515270375,-46.3814015
-23.518435,-46.3869795
-23.5167845,-46.3843835
-23.515824875,-46.47656275
-23.540174,-46.4835855
-23.5058385,-46.376827
-23.532973875,-46.473513375
-23.503804,-46.37982
-23.49210425,-46.44486225
-23.5039665,-46.37959
-23.4948563125,-46.407510875
-23.4084755,-46.74088
-23.452341,-46.735471
-23.443589375,-46.735395625
-23.4509865,-46.735199
-23.449986,-46.735319
-23.4419385,-46.7084165
-23.4066475,-46.75576375
-23.44154,-46.7078315
-23.4083275,-46.741578
-23.411384,-46.7573155
-23.4418,-46.7127575
-23.48693325,-46.736953
-23.5059855,-46.7477065
-23.524916625,-46.698288
-23.539001125,-46.646572125
-23.4832765,-46.7546945
-23.541170625,-46.64238025
-23.540150375,-46.64414075
-23.520022,-46.72231425
-23.5299294375,-46.6673847813
-23.4867835,-46.760973
-23.5280644375,-46.670535125
-23.4867835,-46.760973
-23.485472,-46.763929
-23.52026025,-46.7108415
-23.490589,-46.753143375
-23.554840625,-46.661980625
-23.568523375,-46.64792825
-23.535116,-46.653728
-23.5564195,-46.664705
-23.534772,-46.644349
-23.5395685,-46.6434895
-23.534128875,-46.64412925
-23.54501275,-46.633759
-23.534352125,-46.64396675
-23.54944075,-46.63258175
-23.574657,-46.6330525
-23.515270375,-46.3814015
-23.518435,-46.3869795
-23.5167845,-46.3843835
-23.515824875,-46.47656275
-23.540174,-46.4835855
-23.504616,-46.378349
-23.532973875,-46.473513375
-23.503804,-46.37982
-23.49210425,-46.44486225
-23.5039665,-46.37959
-23.4948563125,-46.407510875
-23.4084755,-46.74088
-23.452341,-46.735471
-23.443589375,-46.735395625
-23.4509865,-46.735199
-23.449986,-46.735319
-23.4419385,-46.7084165
-23.4066475,-46.75576375
-23.44154,-46.7078315
-23.408165,-46.741396
-23.411384,-46.7573155
-23.4418,-46.7127575
-23.48693325,-46.736953
-23.5059855,-46.7477065
-23.524916625,-46.698288
-23.539001125,-46.646572125
-23.4832765,-46.7546945
-23.541170625,-46.64238025
-23.540670375,-46.64326375
-23.520022,-46.72231425
-23.5299294375,-46.6673847813
-23.4867835,-46.760973
-23.5279028125,-46.670826375
-23.485472,-46.763929
-23.485472,-46.763929
-23.52026025,-46.7108415
-23.490589,-46.753143375
-23.55523,-46.662457
